country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",11-07-2026 14:00,19.25292,73.142019,OZONE,NA,NA,NA
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",11-07-2026 14:00,18.9767,72.838,PM10,28,68,41
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",11-07-2026 14:00,19.0632143,72.8456324,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",11-07-2026 14:00,19.19709,72.82204,PM2.5,8,37,20
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",11-07-2026 14:00,19.0364585,72.8954371,PM2.5,8,28,18
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",11-07-2026 14:00,19.0364585,72.8954371,PM10,33,63,52
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",11-07-2026 14:00,19.0364585,72.8954371,NO2,5,18,10
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",11-07-2026 14:00,19.04946,72.923,SO2,0,4,2
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",11-07-2026 14:00,19.04946,72.923,CO,32,50,42
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",11-07-2026 14:00,19.047,72.8746,NH3,6,6,6
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",11-07-2026 14:00,19.10078,72.87462,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",11-07-2026 14:00,19.10078,72.87462,SO2,7,8,7
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",11-07-2026 14:00,18.897756,72.81332,PM2.5,16,52,28
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",11-07-2026 14:00,19.083694,72.920967,SO2,0,2,1
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",11-07-2026 14:00,19.786089,72.757971,NO2,22,23,22
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",11-07-2026 14:00,19.9629,79.298714,NO2,13,15,14
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",11-07-2026 14:00,19.9629,79.298714,SO2,15,24,21
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",11-07-2026 14:00,19.9775302,79.2337086,PM2.5,19,24,21
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",11-07-2026 14:00,20.918946,74.776388,OZONE,9,11,10
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB",11-07-2026 14:00,18.59051,73.77946,SO2,1,3,3
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",11-07-2026 14:00,18.530085,73.849598,CO,5,22,16
India,Maharashtra,Pune,"Dhankawadi, Pune - IITM",11-07-2026 14:00,18.459883,73.852193,PM2.5,10,40,28
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",11-07-2026 14:00,18.501793,73.927532,NO2,NA,NA,NA
